name,country
Anthony Taylor,England (Cheshire)
Paul Tierney,England (Lancashire)
Simon Hooper,England (Wiltshire)
Michael Oliver,England (Northumberland)
Andrew Madley,England (West Yorkshire)
Robert Jones,England (Merseyside)
John Brooks,England (Leicestershire)
Tim Robinson,England (West Sussex)
Jarred Gillett,Australia
Chris Kavanagh,England (Lancashire)
Craig Pawson,England (South Yorkshire)
Stuart Attwell,England (Warwickshire)
David Coote,England (Nottinghamshire)
Samuel Barrott,England
Michael Salisbury,England (Lancashire)
Darren England,England (Doncaster)
Thomas Bramall,England (Sheffield)
Peter Bankes,England (Merseyside)
Tony Harrington,England (Cleveland)
Graham Scott,England (Oxfordshire)
Darren Bond,England (Lancashire)
Josh Smith,England
Samuel Allison,England
Matthew Donohue,England (Greater Manchester)
Lewis Smith,England
Rebecca Welch,England
Bobby Madley,England (Oslo)
Sunny Gill,England